timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559319859235,1365,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,694724,4274,1,1,null,0,1736,0
1559319862337,2357,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41680,445,1,1,null,0,1691,0
1559319866385,1285,Big-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42077,463,1,1,null,0,1780,0
1559319869451,982,Big-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,39278,463,1,1,null,0,1223,0
1559319871657,862,Big-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,32135,482,1,1,null,0,1836,0
1559319874355,1371,Big-F-Item,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,25043,920,1,1,null,0,1348,0
1559319877074,1290,Big-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16889,477,1,1,null,0,1322,0
1559319879686,558,Browse-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,694640,4327,1,1,null,0,1161,0
1559319881405,4831,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,43232,444,1,1,null,0,1368,0
1559319887605,42448,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126299,583,1,1,null,0,1310,0
1559319931363,6357,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126641,517,1,1,null,0,1286,0
1559319939007,505,Browse-E-SmallItem,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,25101,954,1,1,null,0,1157,0
1559319940669,142,Browse-F-SmallDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,11939,834,1,1,null,0,1364,0
1559319942176,283,Search-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,694639,4327,1,1,null,0,1357,0
1559319943816,806,Search-B-GlobalSearch,200,"Number of samples in transaction : 4, number of failing samples : 0",Full Thread Group 1-1,,true,,57579,1755,1,1,null,0,1660,0
1559319946282,1143,Search-C-FilterAuthor,200,"Number of samples in transaction : 10, number of failing samples : 0",Full Thread Group 1-1,,true,,125985,5230,1,1,null,0,1144,0
1559319948569,463,Search-D-MediumItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15321,792,1,1,null,0,1912,0
1559319950944,207,Search-E-MediumDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,31844,832,1,1,null,0,1816,0
1559319952967,295,Tiny-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,694639,4327,1,1,null,0,1290,0
1559319954551,951,Tiny-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42124,447,1,1,null,0,1997,0
1559319957499,669,Tiny-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42563,467,1,1,null,0,1187,0
1559319959355,470,Tiny-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,39510,467,1,1,null,0,1406,0
1559319961231,352,Tiny-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,32267,486,1,1,null,0,1041,0
1559319962624,195,Tiny-F-Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,14966,488,1,1,null,0,1531,0
1559319964350,160,Tiny-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16254,481,1,1,null,0,1112,0
1559319965623,359,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,694640,4327,1,1,null,0,1307,0
1559319967289,1059,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41681,445,1,1,null,0,1074,0
