timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559274140681,12779,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030915,11059,1,1,null,0,1832,0
1559274180844,8837,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030914,11059,1,1,null,0,1339,0
1559274236588,8355,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030916,11059,1,1,null,0,1794,0
1559274260420,7827,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031050,11059,1,1,null,0,1151,0
1559274280951,7533,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031202,11059,1,1,null,0,1961,0
1559274307364,7960,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031208,11059,1,1,null,0,1541,0
1559274359965,7180,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031198,11059,1,1,null,0,1929,0
1559274380105,7088,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031202,11059,1,1,null,0,1931,0
1559274399216,7873,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031207,11059,1,1,null,0,1808,0
1559274427222,6692,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031201,11059,1,1,null,0,1354,0
1559274440394,10666,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3030917,11059,2,2,null,0,1549,0
1559274474819,8941,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031204,11059,2,2,null,0,1257,0
1559274486065,8553,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031204,11059,2,2,null,0,1672,0
1559274510503,9366,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031208,11059,2,2,null,0,1689,0
1559274533256,9160,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031205,11059,2,2,null,0,1391,0
1559274534288,9413,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031203,11059,2,2,null,0,1684,0
1559274557808,7245,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031204,11059,2,2,null,0,1745,0
1559274561619,7154,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031201,11059,2,2,null,0,1148,0
1559274577452,9624,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031204,11059,2,2,null,0,1537,0
1559274610382,9396,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031199,11059,2,2,null,0,1051,0
1559274621734,8623,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031198,11059,2,2,null,0,1180,0
1559274645556,9501,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031203,11059,2,2,null,0,1076,0
1559274666416,7387,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031197,11059,2,2,null,0,1976,0
1559274670113,7334,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031201,11059,2,2,null,0,1214,0
1559274691499,7503,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031208,11059,2,2,null,0,1313,0
1559274695335,7445,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031203,11059,2,2,null,0,1078,0
1559274712030,9432,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031201,11059,2,2,null,0,1423,0
1559274744382,8039,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031207,11059,2,2,null,0,1934,0
1559274753232,9171,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031202,11059,2,2,null,0,1603,0
1559274770394,10339,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031204,11059,3,3,null,0,1389,0
1559274779665,11308,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031203,11059,3,3,null,0,1499,0
1559274800393,11769,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031202,11059,4,4,null,0,1988,0
1559274804466,11544,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031204,11059,4,4,null,0,1165,0
1559274804189,12088,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031209,11059,4,4,null,0,1044,0
1559274815276,13815,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031203,11059,4,4,null,0,1623,0
1559274840406,12311,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031210,11059,4,4,null,0,1617,0
1559274845466,12357,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031204,11059,4,4,null,0,1544,0
1559274849708,13600,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031195,11059,4,4,null,0,1026,0
1559274876276,15818,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031206,11059,4,4,null,0,1823,0
1559274902336,14226,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031206,11059,4,4,null,0,1690,0
1559274923129,13055,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031203,11059,4,4,null,0,1626,0
1559274935181,12100,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031202,11059,4,4,null,0,1019,0
1559274938132,12861,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031210,11059,4,4,null,0,1165,0
1559274940478,11811,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031203,11059,4,4,null,0,1870,0
1559274959601,10980,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031203,11059,4,4,null,0,1648,0
1559274969914,13465,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031204,11059,4,4,null,0,1424,0
1559274971707,13951,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031202,11059,4,4,null,0,1725,0
1559274996130,13267,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031204,11059,4,4,null,0,1637,0
1559274997614,13002,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031203,11059,4,4,null,0,1184,0
1559274998218,12784,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031203,11059,4,4,null,0,1752,0
1559275011207,13975,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031199,11059,4,4,null,0,1865,0
1559275038423,12191,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031205,11059,4,4,null,0,1884,0
1559275041613,13929,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031204,11059,5,5,null,0,1253,0
1559275046203,14753,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031202,11059,5,5,null,0,1300,0
1559275055394,16488,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-8,,true,,3031203,11059,6,6,null,0,1093,0
1559275070394,21724,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-7,,true,,3031208,11059,7,7,null,0,1193,0
1559275074827,22863,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031050,11059,7,7,null,0,1649,0
1559275085393,24290,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-6,,true,,3031055,11059,8,8,null,0,1754,0
1559275100393,24723,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-5,,true,,3031205,11059,8,8,null,0,1834,0
1559275108202,27461,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031206,11059,8,8,null,0,1733,0
1559275112801,30027,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-8,,true,,3031209,11059,8,8,null,0,1779,0
1559275138504,28245,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-7,,true,,3031067,11059,8,8,null,0,1033,0
1559275147093,28212,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031066,11059,8,8,null,0,1918,0
1559275154715,28685,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031201,11059,8,8,null,0,1314,0
1559275156787,30560,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031199,11059,8,8,null,0,1716,0
1559275159463,29072,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-6,,true,,3031203,11059,8,8,null,0,1181,0
1559275171168,27696,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031202,11059,8,8,null,0,1465,0
1559275176410,28546,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-5,,true,,3031204,11059,8,8,null,0,1152,0
1559275214970,29448,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031203,11059,8,8,null,0,1275,0
1559275215741,30025,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031057,11059,8,8,null,0,1175,0
1559275219568,29181,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031204,11059,8,8,null,0,1063,0
1559275254376,38151,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-8,,true,,3031204,11059,8,8,null,0,1597,0
1559275258870,38011,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031205,11059,8,8,null,0,1264,0
1559275265820,37057,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031209,11059,8,8,null,0,1299,0
1559275282038,35912,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-7,,true,,3031208,11059,8,8,null,0,1493,0
1559275292293,34367,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031205,11059,8,8,null,0,1311,0
1559275299657,33969,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-6,,true,,3031203,11059,8,8,null,0,1436,0
1559275306572,33402,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031204,11059,8,8,null,0,1037,0
1559275316773,32219,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-5,,true,,3031206,11059,9,9,null,0,1196,0
1559275332562,31175,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-8,,true,,3031203,11059,11,11,null,0,1465,0
1559275347894,32853,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-16,,true,,3031211,11059,13,13,null,0,1740,0
1559275351392,36677,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031214,11059,14,14,null,0,1612,0
1559275353970,35369,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-7,,true,,3031207,11059,14,14,null,0,1254,0
1559275355394,35118,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-15,,true,,3031209,11059,14,14,null,0,1569,0
1559275358455,36477,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031208,11059,15,15,null,0,1423,0
1559275362893,39369,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-14,,true,,3031203,11059,16,16,null,0,1101,0
1559275364284,38711,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031204,11059,16,16,null,0,1035,0
1559275368756,40064,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-6,,true,,3031204,11059,16,16,null,0,1655,0
1559275370393,39131,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-13,,true,,3031204,11059,16,16,null,0,1888,0
1559275377894,40258,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-12,,true,,3031209,11059,16,16,null,0,1114,0
1559275381412,41261,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-8,,true,,3031200,11059,16,16,null,0,1568,0
1559275385393,43310,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-11,,true,,3031059,11059,16,16,null,0,1467,0
1559275386629,43088,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-5,,true,,3031060,11059,16,16,null,0,1747,0
1559275392894,43966,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-10,,true,,3031065,11059,16,16,null,0,1553,0
1559275400394,45830,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-9,,true,,3031203,11059,16,16,null,0,2001,0
1559275408929,47073,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-7,,true,,3031210,11059,16,16,null,0,1945,0
1559275422053,47449,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031208,11059,16,16,null,0,1005,0
1559275429175,48939,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-6,,true,,3031067,11059,16,16,null,0,1150,0
1559275449147,50286,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-5,,true,,3031201,11059,16,16,null,0,1796,0
1559275451281,50368,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-16,,true,,3031204,11059,16,16,null,0,1317,0
1559275464869,52784,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031207,11059,16,16,null,0,1048,0
1559275463543,54001,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-15,,true,,3031203,11059,16,16,null,0,1652,0
1559275476096,52150,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-14,,true,,3031212,11059,16,16,null,0,1700,0
1559275485797,54959,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-13,,true,,3031206,11059,16,16,null,0,1890,0
1559275494580,54132,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-12,,true,,3031068,11059,16,16,null,0,1970,0
1559275501412,52942,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-8,,true,,3031204,11059,16,16,null,0,1752,0
1559275507452,52090,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-11,,true,,3031210,11059,16,16,null,0,1024,0
1559275514421,54589,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-10,,true,,3031049,11059,16,16,null,0,1202,0
1559275526774,53389,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-9,,true,,3031205,11059,16,16,null,0,1457,0
1559275529075,52269,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-3,,true,,3031071,11059,16,16,null,0,1550,0
1559275538623,53330,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031203,11059,16,16,null,0,1822,0
1559275539467,53177,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-7,,true,,3030920,11059,16,16,null,0,1890,0
1559275552415,56421,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3031202,11059,16,16,null,0,1986,0
1559275561995,54890,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-6,,true,,3031200,11059,16,16,null,0,1213,0
1559275575517,58819,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-4,,true,,3031060,11059,16,16,null,0,1798,0
1559275582826,59097,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-5,,true,,3031206,11059,16,16,null,0,1877,0
1559275644143,71619,Home,500,"Number of samples in transaction : 33, number of failing samples : 4",Thread Group 1-32,,false,,2030992,11059,32,32,null,0,1462,0
1559275674144,41916,Home,500,"Number of samples in transaction : 33, number of failing samples : 6",Thread Group 1-24,,false,,1035314,11059,32,32,null,0,1470,0
1559275664615,55220,Home,500,"Number of samples in transaction : 33, number of failing samples : 5",Thread Group 1-4,,false,,1020604,11059,32,32,null,0,1562,0
1559275677894,55613,Home,500,"Number of samples in transaction : 33, number of failing samples : 4",Thread Group 1-23,,false,,1005892,11059,32,32,null,0,1467,0
1559275645216,89370,Home,500,"Number of samples in transaction : 33, number of failing samples : 2",Thread Group 1-3,,false,,2001440,11059,32,32,null,0,1011,0
1559275681645,58457,Home,500,"Number of samples in transaction : 33, number of failing samples : 3",Thread Group 1-22,,false,,991177,11059,32,32,null,0,1968,0
1559275666644,83143,Home,500,"Number of samples in transaction : 33, number of failing samples : 2",Thread Group 1-26,,false,,2001447,11059,32,32,null,0,1241,0
1559275696643,56479,Home,500,"Number of samples in transaction : 33, number of failing samples : 3",Thread Group 1-18,,false,,991178,11059,32,32,null,0,1193,0
1559275655399,97895,Home,502,"Number of samples in transaction : 33, number of failing samples : 3",Thread Group 1-29,,false,,1993761,11059,32,32,null,0,1021,0
1559275659143,98236,Home,500,"Number of samples in transaction : 33, number of failing samples : 1",Thread Group 1-28,,false,,1986882,11059,32,32,null,0,1596,0
1559275670394,94459,Home,500,"Number of samples in transaction : 33, number of failing samples : 1",Thread Group 1-25,,false,,2020662,11059,32,32,null,0,1923,0
1559275651643,117636,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-30,,true,,3031212,11059,32,32,null,0,1896,0
1559275660349,112411,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031220,11059,32,32,null,0,1175,0
1559275647893,126402,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-31,,true,,3031069,11059,32,32,null,0,1822,0
1559275662894,112143,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-27,,true,,3030878,11059,32,32,null,0,1466,0
1559275700392,75634,Home,500,"Number of samples in transaction : 33, number of failing samples : 1",Thread Group 1-17,,false,,1986864,11059,32,32,null,0,1226,0
1559275658256,120639,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-16,,true,,3030944,11059,32,32,null,0,1521,0
1559275692893,88609,Home,500,"Number of samples in transaction : 33, number of failing samples : 1",Thread Group 1-19,,false,,2020655,11059,32,32,null,0,1517,0
1559275685393,110337,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-21,,true,,3031069,11059,32,32,null,0,1265,0
1559275689143,110788,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-20,,true,,3031071,11059,32,32,null,0,1315,0
