timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559274140681,12779,Big-A-Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030915,11059,1,1,null,0,1832,0
1559274155293,540,Big-B-Community,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,3297,3864,1,1,null,0,1468,0
1559274157301,454,Big-C-Subcommunity,500,"Number of samples in transaction : 18, number of failing samples : 9",Thread Group 1-1,,false,,115119,8721,1,1,null,0,1752,0
1559274159508,8373,Big-D-Collection,500,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-1,,false,,547214,9223,1,1,null,0,1931,0
1559274169813,7263,Big-E-Recent,200,"Number of samples in transaction : 16, number of failing samples : 0",Thread Group 1-1,,true,,527986,9456,1,1,null,0,1080,0
1559274178157,38,Big-F-Item,500,"Number of samples in transaction : 2, number of failing samples : 1",Thread Group 1-1,,false,,18617,818,1,1,null,0,1372,0
1559274179567,8,Big-G-ItemFull,500,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,12378,485,1,1,null,0,1269,0
1559274180844,8837,Browse-A-Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030914,11059,1,1,null,0,1339,0
1559274191020,5028,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,1133213,857,1,1,null,0,1201,0
1559274197249,27368,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5642964,466,1,1,null,0,1901,0
1559274226519,4145,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1733697,492,1,1,null,0,1838,0
1559274232501,516,Browse-E-SmallItem,500,"Number of samples in transaction : 5, number of failing samples : 1",Thread Group 1-1,,false,,44887,2170,1,1,null,0,1808,0
1559274234825,206,Browse-F-SmallDownload,404,"Number of samples in transaction : 3, number of failing samples : 1",Thread Group 1-1,,false,,49240,1273,1,1,null,0,1557,0
1559274236588,8355,Search-A-Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030916,11059,1,1,null,0,1794,0
1559274246737,4221,Search-B-GlobalSearch,200,"Number of samples in transaction : 41, number of failing samples : 0",Thread Group 1-1,,true,,1406870,19380,1,1,null,0,1976,0
1559274252934,2171,Search-C-FilterAuthor,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,455051,17096,1,1,null,0,1760,0
1559274256866,69,Search-D-MediumItem,500,"Number of samples in transaction : 4, number of failing samples : 1",Thread Group 1-1,,false,,28804,1708,1,1,null,0,1534,0
1559274258469,150,Search-E-MediumDownload,404,"Number of samples in transaction : 3, number of failing samples : 1",Thread Group 1-1,,false,,89052,1274,1,1,null,0,1801,0
1559274260420,7827,Tiny-A-Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031050,11059,1,1,null,0,1151,0
1559274269398,437,Tiny-B-Community,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,3297,3864,1,1,null,0,1948,0
1559274271784,224,Tiny-C-Subcommunity,500,"Number of samples in transaction : 18, number of failing samples : 9",Thread Group 1-1,,false,,114543,8721,1,1,null,0,1336,0
1559274273345,684,Tiny-D-Collection,500,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-1,,false,,120860,9223,1,1,null,0,1704,0
1559274275732,411,Tiny-E-Recent,200,"Number of samples in transaction : 16, number of failing samples : 0",Thread Group 1-1,,true,,101204,9456,1,1,null,0,1501,0
1559274277644,20,Tiny-F-Item,500,"Number of samples in transaction : 2, number of failing samples : 1",Thread Group 1-1,,false,,18535,818,1,1,null,0,1814,0
1559274279478,6,Tiny-G-ItemFull,500,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,12296,485,1,1,null,0,1464,0
1559274280951,7533,Big-A-Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3031202,11059,1,1,null,0,1961,0
1559274290445,326,Big-B-Community,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,3296,3864,1,1,null,0,1438,0
1559274292209,179,Big-C-Subcommunity,500,"Number of samples in transaction : 18, number of failing samples : 9",Thread Group 1-1,,false,,114381,8721,1,1,null,0,1531,0
1559274293919,3582,Big-D-Collection,500,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-1,,false,,547130,9223,1,1,null,0,1707,0
1559274299208,3741,Big-E-Recent,200,"Number of samples in transaction : 16, number of failing samples : 0",Thread Group 1-1,,true,,527985,9456,1,1,null,0,1449,0
