timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559666372405,1119,Big-A-Home-00,200,OK,Full Thread Group 1-1,text,true,,21853,336,1,1,https://test-6.usdev.space/,1115,0,692
1559666373527,15,Big-A-Home-01,200,OK,Full Thread Group 1-1,text,true,,51782,381,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/modernizr/modernizr.js,10,0,0
1559666373543,36,Big-A-Home-02,200,OK,Full Thread Group 1-1,text,true,,143093,382,1,1,https://test-6.usdev.space/themes/Mirage2/styles/main.css,12,0,0
1559666373580,8,Big-A-Home-03,200,OK,Full Thread Group 1-1,bin,true,,1071,369,1,1,https://test-6.usdev.space/static/icons/feed.png,8,0,0
1559666373590,12,Big-A-Home-04,200,OK,Full Thread Group 1-1,bin,true,,4928,390,1,1,https://test-6.usdev.space/themes/Mirage2/images/DSpace-logo-line.svg,12,0,0
1559666373603,10,Big-A-Home-05,200,OK,Full Thread Group 1-1,bin,true,,2169,391,1,1,https://test-6.usdev.space/themes/Mirage2/images/atmire-logo-small.svg,10,0,0
1559666373614,12,Big-A-Home-06,200,OK,Full Thread Group 1-1,text,true,,32873,439,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/jquery-ui/themes/base/jquery-ui.css,10,0,0
1559666373626,54,Big-A-Home-07,200,OK,Full Thread Group 1-1,text,true,,408251,368,1,1,https://test-6.usdev.space/themes/Mirage2/scripts/theme.js,12,0,0
1559666373681,11,Big-A-Home-08,200,OK,Full Thread Group 1-1,text,true,,23739,523,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/bootstrap-sass-official/assets/fonts/bootstrap/glyphicons-halflings-regular.woff,11,0,0
1559666373693,12,Big-A-Home-09,200,OK,Full Thread Group 1-1,bin,true,,4226,352,1,1,https://test-6.usdev.space/themes/Mirage2/images/apple-touch-icon.png,12,0,0
1559666375570,26,Big-A-Home-10,200,OK,Full Thread Group 1-1,bin,true,,739,343,1,1,https://test-6.usdev.space/themes/Mirage2/images/favicon.ico,26,0,18
1559666377175,1081,Big-B-Community-0,200,OK,Full Thread Group 1-1,text,true,,41680,445,1,1,https://test-6.usdev.space/handle/123456789/1,1080,0,0
1559666379886,698,Big-C-Subcommunity-0,200,OK,Full Thread Group 1-1,text,true,,42077,463,1,1,https://test-6.usdev.space/handle/123456789/2,698,0,13
1559666382431,780,Big-D-Collection-0,200,OK,Full Thread Group 1-1,text,true,,39278,463,1,1,https://test-6.usdev.space/handle/123456789/3,779,0,10
1559666384920,503,Big-E-Recent-0,200,OK,Full Thread Group 1-1,text,true,,32135,482,1,1,https://test-6.usdev.space/handle/123456789/3/recent-submissions,503,0,10
1559666385424,5566,Big-F-Item-0,200,OK,Full Thread Group 1-1,text,true,,15326,484,1,1,https://test-6.usdev.space/handle/123456789/388,5566,0,0
1559666392772,235,Big-F-Item-1,200,OK,Full Thread Group 1-1,bin,true,,9717,436,1,1,https://test-6.usdev.space/bitstream/handle/123456789/388/text.pdf.jpg?sequence=103&isAllowed=y,235,0,15
1559666394486,1066,Big-G-ItemFull-0,200,OK,Full Thread Group 1-1,text,true,,16889,477,1,1,https://test-6.usdev.space/handle/123456789/388?show=full,1066,0,0
1559666395553,301,Browse-A-Home-00,200,OK,Full Thread Group 1-1,text,true,,21770,389,1,1,https://test-6.usdev.space/,301,0,10
1559666395855,26,Browse-A-Home-01,200,OK,Full Thread Group 1-1,text,true,,51782,381,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/modernizr/modernizr.js,25,0,0
1559666395881,10,Browse-A-Home-02,200,OK,Full Thread Group 1-1,text,true,,143093,382,1,1,https://test-6.usdev.space/themes/Mirage2/styles/main.css,6,0,0
1559666395892,6,Browse-A-Home-03,200,OK,Full Thread Group 1-1,bin,true,,2169,391,1,1,https://test-6.usdev.space/themes/Mirage2/images/atmire-logo-small.svg,6,0,0
1559666395899,7,Browse-A-Home-04,200,OK,Full Thread Group 1-1,bin,true,,4928,390,1,1,https://test-6.usdev.space/themes/Mirage2/images/DSpace-logo-line.svg,7,0,0
1559666395906,8,Browse-A-Home-05,200,OK,Full Thread Group 1-1,text,true,,32873,439,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/jquery-ui/themes/base/jquery-ui.css,7,0,0
1559666395914,18,Browse-A-Home-06,200,OK,Full Thread Group 1-1,text,true,,408251,368,1,1,https://test-6.usdev.space/themes/Mirage2/scripts/theme.js,11,0,0
1559666395933,7,Browse-A-Home-07,200,OK,Full Thread Group 1-1,bin,true,,1071,369,1,1,https://test-6.usdev.space/static/icons/feed.png,7,0,0
1559666395941,11,Browse-A-Home-08,200,OK,Full Thread Group 1-1,text,true,,23739,523,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/bootstrap-sass-official/assets/fonts/bootstrap/glyphicons-halflings-regular.woff,10,0,0
1559666395952,10,Browse-A-Home-09,200,OK,Full Thread Group 1-1,bin,true,,738,343,1,1,https://test-6.usdev.space/themes/Mirage2/images/favicon.ico,10,0,0
1559666397924,17,Browse-A-Home-10,200,OK,Full Thread Group 1-1,bin,true,,4227,352,1,1,https://test-6.usdev.space/themes/Mirage2/images/apple-touch-icon.png,17,0,10
1559666399608,22911,Browse-B-ByTitleBig20-0,200,OK,Full Thread Group 1-1,text,true,,43231,444,1,1,https://test-6.usdev.space/browse?type=title,22907,0,0
1559666424335,60069,Browse-C-ByTitleBig100-0,500,Internal Server Error,Full Thread Group 1-1,text,false,,733,583,1,1,https://test-6.usdev.space/browse?resetOffset=true,60069,0,11
1559666486222,19425,Browse-D-ByTitleSmall100-0,200,OK,Full Thread Group 1-1,text,true,,126641,517,1,1,https://test-6.usdev.space/browse?rpp=100&sort_by=1&type=title&etal=-1&starts_with=S&order=ASC,19419,0,12
1559666505647,625,Browse-E-SmallItem-0,200,OK,Full Thread Group 1-1,text,true,,15385,516,1,1,https://test-6.usdev.space/handle/123456789/31570,625,0,9
1559666507878,55,Browse-E-SmallItem-1,200,OK,Full Thread Group 1-1,bin,true,,9717,438,1,1,https://test-6.usdev.space/bitstream/handle/123456789/31570/text.pdf.jpg?sequence=4&isAllowed=y,55,0,11
1559666507934,42,Browse-F-SmallDownload-0,200,OK,Full Thread Group 1-1,text,true,,3024,513,1,1,https://test-6.usdev.space/bitstream/handle/123456789/31570/text.pdf?sequence=1&isAllowed=y,42,0,0
1559666509392,85,Browse-F-SmallDownload-1,404,Not Found,Full Thread Group 1-1,text,false,,8914,321,1,1,https://test-6.usdev.space/favicon.ico,85,0,0
1559666509478,186,Search-A-Home-00,200,OK,Full Thread Group 1-1,text,true,,21769,389,1,1,https://test-6.usdev.space/,186,0,0
1559666509665,11,Search-A-Home-01,200,OK,Full Thread Group 1-1,text,true,,51782,381,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/modernizr/modernizr.js,7,0,0
1559666509676,14,Search-A-Home-02,200,OK,Full Thread Group 1-1,text,true,,143093,382,1,1,https://test-6.usdev.space/themes/Mirage2/styles/main.css,7,0,0
1559666509691,12,Search-A-Home-03,200,OK,Full Thread Group 1-1,bin,true,,4928,390,1,1,https://test-6.usdev.space/themes/Mirage2/images/DSpace-logo-line.svg,12,0,0
1559666509703,7,Search-A-Home-04,200,OK,Full Thread Group 1-1,bin,true,,2169,391,1,1,https://test-6.usdev.space/themes/Mirage2/images/atmire-logo-small.svg,7,0,0
1559666509711,8,Search-A-Home-05,200,OK,Full Thread Group 1-1,bin,true,,1071,369,1,1,https://test-6.usdev.space/static/icons/feed.png,8,0,0
1559666509720,22,Search-A-Home-06,200,OK,Full Thread Group 1-1,text,true,,32873,439,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/jquery-ui/themes/base/jquery-ui.css,20,0,0
1559666509743,31,Search-A-Home-07,200,OK,Full Thread Group 1-1,text,true,,408251,368,1,1,https://test-6.usdev.space/themes/Mirage2/scripts/theme.js,6,0,0
1559666509775,11,Search-A-Home-08,200,OK,Full Thread Group 1-1,text,true,,23739,523,1,1,https://test-6.usdev.space/themes/Mirage2/vendor/bootstrap-sass-official/assets/fonts/bootstrap/glyphicons-halflings-regular.woff,10,0,0
