timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559660886293,13105,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030551,11059,1,1,null,0,1338,0
1559660923039,7858,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030556,11059,1,1,null,0,2012,0
1559660977537,8130,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030554,11059,1,1,null,0,1967,0
1559660999538,8112,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030691,11059,1,1,null,0,1460,0
1559661018465,7000,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030846,11059,1,1,null,0,1569,0
1559661044316,6701,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030843,11059,1,1,null,0,1955,0
1559661094079,7437,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030706,11059,1,1,null,0,1526,0
1559661113827,7155,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030688,11059,1,1,null,0,1942,0
1559661132483,6876,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030850,11059,1,1,null,0,1966,0
1559661158930,6614,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030843,11059,1,1,null,0,1522,0
1559661208750,7121,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030844,11059,1,1,null,0,1994,0
1559661228808,6878,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030834,11059,1,1,null,0,1008,0
1559661248353,7092,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030843,11059,1,1,null,0,1029,0
1559661272660,7281,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030838,11059,1,1,null,0,1745,0
1559661323505,6831,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030850,11059,1,1,null,0,1027,0
1559661342992,6684,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030840,11059,1,1,null,0,1238,0
1559661360870,6804,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030846,11059,1,1,null,0,1749,0
1559661387449,6591,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030841,11059,1,1,null,0,1734,0
1559661436118,7065,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030841,11059,1,1,null,0,1420,0
1559661456493,6742,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030844,11059,1,1,null,0,1177,0
1559661475894,6275,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030839,11059,1,1,null,0,1372,0
1559661500924,6916,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030841,11059,1,1,null,0,1876,0
1559661549633,6696,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030840,11059,1,1,null,0,1209,0
1559661568259,6563,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030841,11059,1,1,null,0,1924,0
1559661586777,6632,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030843,11059,1,1,null,0,1773,0
1559661606232,7302,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3030846,11059,2,2,null,0,1227,0
1559661612756,7953,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030847,11059,2,2,null,0,1434,0
1559661634435,9331,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3030849,11059,2,2,null,0,1023,0
1559661674405,9993,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030842,11059,2,2,null,0,1043,0
1559661698811,8271,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-2,,true,,3030845,11059,2,2,null,0,1709,0
