timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559663747518,10722,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030560,11059,1,1,null,0,1337,0
1559663782036,8961,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030555,11059,1,1,null,0,1374,0
1559663833950,7587,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030557,11059,1,1,null,0,1576,0
1559663856216,7460,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030694,11059,1,1,null,0,1430,0
1559663875338,6778,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030842,11059,1,1,null,0,1118,0
1559663900654,6551,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030841,11059,1,1,null,0,1409,0
1559663948609,6756,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030708,11059,1,1,null,0,1143,0
1559663967355,6576,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030694,11059,1,1,null,0,1646,0
1559663986457,6510,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030844,11059,1,1,null,0,1794,0
1559664013173,6780,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030843,11059,1,1,null,0,1904,0
1559664062509,6666,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030843,11059,1,1,null,0,1142,0
1559664081955,6442,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030846,11059,1,1,null,0,1137,0
1559664099286,6698,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030706,11059,1,1,null,0,1012,0
1559664122562,6489,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030557,11059,1,1,null,0,1732,0
1559664170494,13792,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030843,11059,1,1,null,0,1506,0
1559664196138,6701,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030840,11059,1,1,null,0,1101,0
1559664213890,6575,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030843,11059,1,1,null,0,1077,0
1559664238864,7007,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030841,11059,1,1,null,0,1941,0
1559664288700,6576,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030845,11059,1,1,null,0,1974,0
1559664308314,6794,Home,200,"Number of samples in transaction : 33, number of failing samples : 0",Thread Group 1-1,,true,,3030841,11059,1,1,null,0,1143,0
