timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559663747733,2425,Big-A-Home-00,200,OK,Thread Group 1-1,text,true,,44360,336,1,1,https://test-7.usdev.space/,2414,0,707
1559663750160,16,Big-A-Home-01,200,OK,Thread Group 1-1,bin,true,,2237,324,1,1,https://test-7.usdev.space/assets/images/dspace-logo.svg,16,0,12
1559663750177,4,Big-A-Home-02,200,OK,Thread Group 1-1,bin,true,,8959,324,1,1,https://test-7.usdev.space/assets/images/dspace-logo.png,4,0,0
1559663750182,46,Big-A-Home-03,200,OK,Thread Group 1-1,text,true,,74217,369,1,1,https://test-7.usdev.space/assets/fonts/fa-solid-900.woff2,5,0,0
1559663750230,164,Big-A-Home-04,200,OK,Thread Group 1-1,text,true,,599580,293,1,1,https://test-7.usdev.space/client.js,18,0,0
1559663750395,45,Big-A-Home-05,200,OK,Thread Group 1-1,bin,true,,1167,282,1,1,https://test-7.usdev.space/assets/images/favicon.ico,45,0,0
1559663750440,48,Big-A-Home-06,200,OK,Thread Group 1-1,text,true,,8404,333,1,1,https://test-7.usdev.space/assets/i18n/en.json,48,0,0
1559663750489,43,Big-A-Home-07,200,OK,Thread Group 1-1,text,true,,5777,295,1,1,https://test-7.usdev.space/0.client.js,43,0,0
1559663750533,47,Big-A-Home-08,200,OK,Thread Group 1-1,text,true,,6695,295,1,1,https://test-7.usdev.space/6.client.js,47,0,0
1559663750581,7,Big-A-Home-09,200,OK,Thread Group 1-1,text,true,,3531,392,1,1,https://test-7.usdev.space/spring-rest/api?endpointMap,6,0,0
1559663750588,44,Big-A-Home-10,200,OK,Thread Group 1-1,text,true,,9158,299,1,1,https://test-7.usdev.space/7.client.js,44,0,0
1559663750633,43,Big-A-Home-11,200,OK,Thread Group 1-1,text,true,,9242,299,1,1,https://test-7.usdev.space/8.client.js,43,0,0
1559663750677,44,Big-A-Home-12,200,OK,Thread Group 1-1,text,true,,12403,299,1,1,https://test-7.usdev.space/3.client.js,43,0,0
1559663750721,47,Big-A-Home-13,200,OK,Thread Group 1-1,text,true,,8476,300,1,1,https://test-7.usdev.space/12.client.js,47,0,0
1559663750769,47,Big-A-Home-14,200,OK,Thread Group 1-1,text,true,,7787,300,1,1,https://test-7.usdev.space/11.client.js,47,0,0
1559663750817,48,Big-A-Home-15,200,OK,Thread Group 1-1,text,true,,22556,300,1,1,https://test-7.usdev.space/10.client.js,47,0,0
1559663750865,49,Big-A-Home-16,200,OK,Thread Group 1-1,text,true,,18867,299,1,1,https://test-7.usdev.space/9.client.js,48,0,0
1559663750915,46,Big-A-Home-17,200,OK,Thread Group 1-1,text,true,,29750,299,1,1,https://test-7.usdev.space/2.client.js,45,0,0
1559663750962,61,Big-A-Home-18,200,OK,Thread Group 1-1,text,true,,3673,300,1,1,https://test-7.usdev.space/14.client.js,61,0,0
1559663751024,44,Big-A-Home-19,200,OK,Thread Group 1-1,text,true,,2815,300,1,1,https://test-7.usdev.space/13.client.js,44,0,0
1559663751068,44,Big-A-Home-20,200,OK,Thread Group 1-1,text,true,,10481,299,1,1,https://test-7.usdev.space/4.client.js,44,0,0
1559663751113,45,Big-A-Home-21,200,OK,Thread Group 1-1,text,true,,31167,299,1,1,https://test-7.usdev.space/1.client.js,43,0,0
1559663751158,46,Big-A-Home-22,200,OK,Thread Group 1-1,text,true,,6029,300,1,1,https://test-7.usdev.space/16.client.js,46,0,0
1559663751205,43,Big-A-Home-23,200,OK,Thread Group 1-1,text,true,,3263,300,1,1,https://test-7.usdev.space/15.client.js,43,0,0
1559663751249,43,Big-A-Home-24,200,OK,Thread Group 1-1,text,true,,6299,300,1,1,https://test-7.usdev.space/18.client.js,43,0,0
1559663751293,43,Big-A-Home-25,200,OK,Thread Group 1-1,text,true,,6298,300,1,1,https://test-7.usdev.space/17.client.js,43,0,0
1559663751336,1945,Big-A-Home-26,200,OK,Thread Group 1-1,text,true,,1025248,409,1,1,https://test-7.usdev.space/spring-rest/api/core/communities?endpointMap,1788,0,0
1559663753280,34,Big-A-Home-27,200,OK,Thread Group 1-1,text,true,,752,416,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/search?endpointMap,34,0,14
1559663753315,3434,Big-A-Home-28,200,OK,Thread Group 1-1,text,true,,1059719,442,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/search/top?page=0&size=5&sort=dc.title%2CASC,3221,0,0
1559663756750,608,Big-A-Home-29,204,No Content,Thread Group 1-1,,true,,413,439,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/cb26f292-e77b-496f-a125-bb00dfaa801f/logo,0,0,11
1559663757359,457,Big-A-Home-30,204,No Content,Thread Group 1-1,,true,,412,439,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/9bc3115a-1d35-4bce-9129-760ce1e36503/logo,0,0,0
1559663757816,380,Big-A-Home-31,204,No Content,Thread Group 1-1,,true,,412,439,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/02f7521c-b14f-41eb-9557-c3112f932800/logo,0,0,0
1559663759293,282,Big-A-Home-32,204,No Content,Thread Group 1-1,,true,,413,439,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/edb3df48-cba7-4c27-b573-50906be42a5f/logo,0,0,14
1559663759577,66,Big-B-Community-0,204,No Content,Thread Group 1-1,,true,,412,483,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/00df4046-d0f9-4a02-832a-2d1a0b1024a5/logo,0,0,0
1559663759643,67,Big-B-Community-1,204,No Content,Thread Group 1-1,,true,,412,483,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/799005a5-87de-453f-9d51-e09aa42c8579/logo,0,0,0
1559663759710,86,Big-B-Community-2,204,No Content,Thread Group 1-1,,true,,412,483,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/6e410a62-49c0-44d6-866f-5c345df62572/logo,0,0,0
1559663759797,69,Big-B-Community-3,204,No Content,Thread Group 1-1,,true,,412,483,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/e20a7859-2d93-4d78-9467-4748b54a9642/logo,0,0,0
1559663759866,113,Big-B-Community-4,204,No Content,Thread Group 1-1,,true,,412,483,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/6fa2d7dd-6d5f-4a78-87eb-1b300e1da8ef/logo,0,0,0
1559663759979,124,Big-B-Community-5,204,No Content,Thread Group 1-1,,true,,412,483,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/477baf81-de71-4a4d-81ce-ac64b2a6819e/logo,0,0,0
1559663760103,112,Big-B-Community-6,204,No Content,Thread Group 1-1,,true,,412,483,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/82ce68a0-f9c7-4faa-ba41-87cb48d72952/logo,0,0,0
1559663761749,68,Big-B-Community-7,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/communities/4643ed40-961a-43fb-a716-6ddf0753d3b4/logo,0,0,10
1559663761818,10,Big-C-Subcommunity-00,500,Internal Server Error,Thread Group 1-1,text,false,,12669,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/8ce7fe68-b528-4c4f-964b-5303972f7891/license,10,0,0
1559663761829,20,Big-C-Subcommunity-01,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/8ce7fe68-b528-4c4f-964b-5303972f7891/logo,0,0,9
1559663761850,10,Big-C-Subcommunity-02,500,Internal Server Error,Thread Group 1-1,text,false,,12669,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/ffa9b2a2-9a54-46ca-96c8-42888b04621e/license,10,0,0
1559663761861,19,Big-C-Subcommunity-03,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/ffa9b2a2-9a54-46ca-96c8-42888b04621e/logo,0,0,9
1559663761880,8,Big-C-Subcommunity-04,500,Internal Server Error,Thread Group 1-1,text,false,,12669,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/13a3d5ec-dec7-4475-90e9-6b6a2c074c14/license,8,0,0
1559663761889,21,Big-C-Subcommunity-05,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/13a3d5ec-dec7-4475-90e9-6b6a2c074c14/logo,0,0,9
1559663761910,8,Big-C-Subcommunity-06,500,Internal Server Error,Thread Group 1-1,text,false,,12669,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/92ab0a8a-2f80-42f9-a77e-9ba5ad7312c4/license,7,0,0
1559663761918,21,Big-C-Subcommunity-07,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/92ab0a8a-2f80-42f9-a77e-9ba5ad7312c4/logo,0,0,12
1559663761939,8,Big-C-Subcommunity-08,500,Internal Server Error,Thread Group 1-1,text,false,,12669,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/6a90768f-dc32-43b8-8eab-2a4e34810707/license,8,0,0
1559663761948,21,Big-C-Subcommunity-09,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/6a90768f-dc32-43b8-8eab-2a4e34810707/logo,0,0,11
1559663761970,8,Big-C-Subcommunity-10,500,Internal Server Error,Thread Group 1-1,text,false,,12669,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/e63c3726-10b5-452e-9766-6663f6ceff90/license,8,0,0
1559663761979,23,Big-C-Subcommunity-11,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/e63c3726-10b5-452e-9766-6663f6ceff90/logo,0,0,11
1559663762002,8,Big-C-Subcommunity-12,500,Internal Server Error,Thread Group 1-1,text,false,,12587,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/18a5e17e-6a14-436b-a2bf-5737f3f62db6/license,7,0,0
1559663762011,25,Big-C-Subcommunity-13,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/18a5e17e-6a14-436b-a2bf-5737f3f62db6/logo,0,0,9
1559663762037,12,Big-C-Subcommunity-14,500,Internal Server Error,Thread Group 1-1,text,false,,12587,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/a9e268f3-3db6-4650-8469-af423ce2af90/license,12,0,0
1559663762050,19,Big-C-Subcommunity-15,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/a9e268f3-3db6-4650-8469-af423ce2af90/logo,0,0,8
1559663762070,18,Big-C-Subcommunity-16,500,Internal Server Error,Thread Group 1-1,text,false,,12587,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/1dccf6fd-5bda-4140-a1ee-ccd428504b95/license,18,0,0
1559663763836,22,Big-C-Subcommunity-17,204,No Content,Thread Group 1-1,,true,,413,483,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/1dccf6fd-5bda-4140-a1ee-ccd428504b95/logo,0,0,8
1559663763860,15,Big-D-Collection-00,500,Internal Server Error,Thread Group 1-1,text,false,,12587,486,1,1,https://test-7.usdev.space/spring-rest/api/core/collections/8ce7fe68-b528-4c4f-964b-5303972f7891/license,12,0,0
1559663763876,14,Big-D-Collection-01,200,OK,Thread Group 1-1,text,true,,841,445,1,1,https://test-7.usdev.space/spring-rest/api/discover?endpointMap,14,0,9
1559663763891,9,Big-D-Collection-02,200,OK,Thread Group 1-1,text,true,,6738,452,1,1,https://test-7.usdev.space/spring-rest/api/discover/search?endpointMap,9,0,0
1559663763901,1973,Big-D-Collection-03,200,OK,Thread Group 1-1,text,true,,342488,550,1,1,https://test-7.usdev.space/spring-rest/api/discover/search/objects?sort=dc.date.accessioned%2CDESC&page=0&size=5&scope=8ce7fe68-b528-4c4f-964b-5303972f7891&dsoType=ITEM,1831,0,0
1559663765874,370,Big-D-Collection-04,200,OK,Thread Group 1-1,text,true,,754,486,1,1,https://test-7.usdev.space/spring-rest/api/core/items/fa2a2dd6-90bf-460d-ad19-c83c4d8b48fe/relationships,369,0,0
1559663766244,339,Big-D-Collection-05,200,OK,Thread Group 1-1,text,true,,2481,489,1,1,https://test-7.usdev.space/spring-rest/api/core/items/3cab73e9-1cab-4f60-994b-b264d4ffbd03/owningCollection,335,0,11
1559663766583,391,Big-D-Collection-06,200,OK,Thread Group 1-1,text,true,,754,486,1,1,https://test-7.usdev.space/spring-rest/api/core/items/3cab73e9-1cab-4f60-994b-b264d4ffbd03/relationships,382,0,0
